anio;nivel_agregacion;unidad_territorial;monto_inversion;cant_investigadores;cant_articulos;inversion_investigador;articulos_investigador
2022;Provincia;La Rioja;1728.5;272;136;6.4;0.50
2022;Provincia;Mendoza;9677.7;1260;1006;7.7;0.80
2022;Provincia;Misiones;3351.3;639;378;5.2;0.59
2022;Provincia;Neuquén;5038.2;418;308;12.1;0.74
2022;Provincia;Río Negro;12328.4;1023;811;12.1;0.79
2022;Provincia;Salta;3400.2;569;341;6.0;0.60
2022;Provincia;San Juan;4087.5;658;361;6.2;0.55
2022;Provincia;San Luis;5227.1;923;514;5.7;0.56
2022;Provincia;Santa Cruz;1548.2;228;123;6.8;0.54
2022;Provincia;Santa Fe;33988.5;3265;2367;10.4;0.72
2022;Provincia;Santiago del Estero;1614.0;302;205;5.3;0.68
2022;Provincia;Tierra del Fuego, Antártida e Islas del Atlántico Sur;2048.9;141;158;14.5;1.12
2022;Provincia;Tucumán;10377.0;1279;739;8.1;0.58
2022;Región;Centro;75061.1;8232;5576;9.1;0.68
2022;Región;Cuyo;18992.3;2841;1797;6.7;0.63
2022;Región;Metropolitana;299199.9;18110;15962;16.5;0.88
2022;Región;NEA;10761.0;1718;1177;6.3;0.69
2022;Región;NOA;22210.4;3231;1737;6.9;0.54
2022;Región;Patagonia;27961.7;2732;2021;10.2;0.74
2023;País;Total País;1150562.2;35994;18870;32.0;0.52
2023;Provincia;Buenos Aires;402300.0;10410;6360;38.6;0.61
2023;Provincia;C.A.B.A.;353020.0;7254;7818;48.7;1.08
2023;Provincia;Catamarca;5878.4;361;121;16.3;0.34
2023;Provincia;Chaco;8018.4;400;206;20.0;0.52
2023;Provincia;Chubut;14577.1;534;348;27.3;0.65
2023;Provincia;Corrientes;9341.8;576;506;16.2;0.88
2023;Provincia;Córdoba;90343.8;3694;2174;24.5;0.59
2023;Provincia;Entre Ríos;12682.6;625;458;20.3;0.73
2023;Provincia;Formosa;2930.9;85;55;34.5;0.65
2023;Provincia;Jujuy;7516.0;441;223;17.0;0.51
2023;Provincia;La Pampa;5416.5;389;251;13.9;0.65
2023;Provincia;La Rioja;5997.8;317;119;18.9;0.38
2023;Provincia;Mendoza;27451.4;1375;855;20.0;0.62
2023;Provincia;Misiones;9385.9;651;307;14.4;0.47
2023;Provincia;Neuquén;7874.2;421;273;18.7;0.65
2023;Provincia;Río Negro;25744.0;1026;762;25.1;0.74
2023;Provincia;Salta;8195.8;551;264;14.9;0.48
2023;Provincia;San Juan;11305.2;638;294;17.7;0.46
2023;Provincia;San Luis;13505.9;842;402;16.0;0.48
