anio;nivel_agregacion;unidad_territorial;tipo_institucion_ract;monto_inversion;monto_inversion_constante_2004
2019;Provincia;Chaco;Empresa;110.70;3.60
2019;Provincia;Chubut;Empresa;165.30;5.30
2019;Provincia;C.A.B.A.;Empresa;15096.80;485.40
2019;Provincia;Córdoba;Empresa;4597.10;147.80
2019;Provincia;Corrientes;Empresa;77.10;2.50
2019;Provincia;Entre Ríos;Empresa;397.00;12.80
2019;Provincia;Formosa;Empresa;11.00;0.40
2019;Provincia;Jujuy;Empresa;33.80;1.10
2019;Provincia;La Pampa;Empresa;141.70;4.60
2019;Provincia;La Rioja;Empresa;153.60;4.90
2019;Provincia;Mendoza;Empresa;551.10;17.70
2019;Provincia;Misiones;Empresa;31.80;1.00
2019;Provincia;Neuquén;Empresa;70.80;2.30
2019;Provincia;Río Negro;Empresa;745.70;24.00
2019;Provincia;Salta;Empresa;241.10;7.80
2019;Provincia;San Juan;Empresa;63.30;2.00
2019;Provincia;San Luis;Empresa;473.60;15.20
2019;Provincia;Santa Cruz;Empresa;40.90;1.30
2019;Provincia;Santa Fe;Empresa;2846.60;91.50
2019;Provincia;Santiago del Estero;Empresa;31.60;1.00
2019;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;Empresa;46.00;1.50
2019;Provincia;Tucumán;Empresa;704.20;22.60
2020;Provincia;Buenos Aires;ESFL;91.30;2.10
2020;Provincia;Catamarca;ESFL;0.00;0.00
2020;Provincia;Chaco;ESFL;0.10;0.00
2020;Provincia;Chubut;ESFL;24.40;0.60
2020;Provincia;C.A.B.A.;ESFL;1372.20;31.50
2020;Provincia;Córdoba;ESFL;32.50;0.70
2020;Provincia;Corrientes;ESFL;0.20;0.00
2020;Provincia;Entre Ríos;ESFL;0.00;0.00
2020;Provincia;Formosa;ESFL;0.00;0.00
2020;Provincia;Jujuy;ESFL;0.00;0.00
2020;Provincia;La Pampa;ESFL;0.00;0.00
2020;Provincia;La Rioja;ESFL;0.00;0.00
2020;Provincia;Mendoza;ESFL;27.00;0.60
2020;Provincia;Misiones;ESFL;1.70;0.00
2020;Provincia;Neuquén;ESFL;20.80;0.50
2020;Provincia;Río Negro;ESFL;18.60;0.40
2020;Provincia;Salta;ESFL;12.10;0.30
2020;Provincia;San Juan;ESFL;0.00;0.00
2020;Provincia;San Luis;ESFL;0.00;0.00
2020;Provincia;Santa Cruz;ESFL;1.50;0.00
2020;Provincia;Santa Fe;ESFL;15.30;0.40
2020;Provincia;Santiago del Estero;ESFL;0.00;0.00
2020;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;ESFL;0.00;0.00
