anio;nivel_agregacion;unidad_territorial;tipo_personal_sicytar;es_conicet;sexo_descripcion;gran_area_experticia;cant_personas
2019;Provincia;Buenos Aires;INVESTIGADOR;1;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;95
2019;Provincia;Buenos Aires;INVESTIGADOR;1;FEMENINO;CIENCIAS NATURALES Y EXACTAS;799
2019;Provincia;Buenos Aires;INVESTIGADOR;1;FEMENINO;CIENCIAS SOCIALES;195
2019;Provincia;Buenos Aires;INVESTIGADOR;1;FEMENINO;HUMANIDADES;167
2019;Provincia;Buenos Aires;INVESTIGADOR;1;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;277
2019;Provincia;Buenos Aires;INVESTIGADOR;1;MASCULINO;CIENCIAS AGRÍCOLAS;90
2019;Provincia;Buenos Aires;INVESTIGADOR;1;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;55
2019;Provincia;Buenos Aires;INVESTIGADOR;1;MASCULINO;CIENCIAS NATURALES Y EXACTAS;781
2019;Provincia;Buenos Aires;INVESTIGADOR;1;MASCULINO;CIENCIAS SOCIALES;167
2019;Provincia;Buenos Aires;INVESTIGADOR;1;MASCULINO;HUMANIDADES;126
2019;Provincia;Buenos Aires;INVESTIGADOR;1;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;269
2019;Provincia;Buenos Aires;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;CIENCIAS AGRÍCOLAS;144
2019;Provincia;Buenos Aires;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;421
2019;Provincia;Buenos Aires;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;889
2019;Provincia;Buenos Aires;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;CIENCIAS SOCIALES;984
2019;Provincia;Buenos Aires;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;HUMANIDADES;423
2019;Provincia;Buenos Aires;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;316
2019;Provincia;Buenos Aires;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;CIENCIAS AGRÍCOLAS;105
2019;Provincia;Buenos Aires;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;181
2019;Provincia;Buenos Aires;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;CIENCIAS NATURALES Y EXACTAS;580
2019;Provincia;Buenos Aires;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;CIENCIAS SOCIALES;534
2019;Provincia;Buenos Aires;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;HUMANIDADES;232
2019;Provincia;Buenos Aires;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;363
2019;Provincia;C.A.B.A.;BECARIO DE I+D;0;FEMENINO;CIENCIAS AGRÍCOLAS;40
2019;Provincia;C.A.B.A.;BECARIO DE I+D;0;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;93
2019;Provincia;C.A.B.A.;BECARIO DE I+D;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;163
2019;Provincia;C.A.B.A.;BECARIO DE I+D;0;FEMENINO;CIENCIAS SOCIALES;146
2019;Provincia;C.A.B.A.;BECARIO DE I+D;0;FEMENINO;HUMANIDADES;96
2019;Provincia;C.A.B.A.;BECARIO DE I+D;0;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;30
2019;Provincia;C.A.B.A.;BECARIO DE I+D;0;MASCULINO;CIENCIAS AGRÍCOLAS;20
2019;Provincia;C.A.B.A.;BECARIO DE I+D;0;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;36
2019;Provincia;C.A.B.A.;BECARIO DE I+D;0;MASCULINO;CIENCIAS NATURALES Y EXACTAS;119
2019;Provincia;C.A.B.A.;BECARIO DE I+D;0;MASCULINO;CIENCIAS SOCIALES;81
2019;Provincia;C.A.B.A.;BECARIO DE I+D;0;MASCULINO;HUMANIDADES;42
2019;Provincia;C.A.B.A.;BECARIO DE I+D;0;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;29
2019;Provincia;C.A.B.A.;BECARIO DE I+D;1;FEMENINO;CIENCIAS AGRÍCOLAS;45
2019;Provincia;C.A.B.A.;BECARIO DE I+D;1;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;159
2019;Provincia;C.A.B.A.;BECARIO DE I+D;1;FEMENINO;CIENCIAS NATURALES Y EXACTAS;481
2019;Provincia;C.A.B.A.;BECARIO DE I+D;1;FEMENINO;CIENCIAS SOCIALES;231
2019;Provincia;C.A.B.A.;BECARIO DE I+D;1;FEMENINO;HUMANIDADES;194
2019;Provincia;C.A.B.A.;BECARIO DE I+D;1;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;53
2019;Provincia;C.A.B.A.;BECARIO DE I+D;1;MASCULINO;CIENCIAS AGRÍCOLAS;41
2019;Provincia;C.A.B.A.;BECARIO DE I+D;1;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;62
2019;Provincia;C.A.B.A.;BECARIO DE I+D;1;MASCULINO;CIENCIAS NATURALES Y EXACTAS;405
2019;Provincia;C.A.B.A.;BECARIO DE I+D;1;MASCULINO;CIENCIAS SOCIALES;147
2019;Provincia;C.A.B.A.;BECARIO DE I+D;1;MASCULINO;HUMANIDADES;117
2019;Provincia;C.A.B.A.;BECARIO DE I+D;1;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;54
2019;Provincia;C.A.B.A.;DOCENTE;0;FEMENINO;CIENCIAS AGRÍCOLAS;224
2019;Provincia;C.A.B.A.;DOCENTE;0;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;591
2019;Provincia;C.A.B.A.;DOCENTE;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;501
2019;Provincia;C.A.B.A.;DOCENTE;0;FEMENINO;CIENCIAS SOCIALES;1548
2019;Provincia;C.A.B.A.;DOCENTE;0;FEMENINO;HUMANIDADES;1014
2019;Provincia;C.A.B.A.;DOCENTE;0;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;199
2019;Provincia;C.A.B.A.;DOCENTE;0;MASCULINO;CIENCIAS AGRÍCOLAS;234
2019;Provincia;C.A.B.A.;DOCENTE;0;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;357
2019;Provincia;C.A.B.A.;DOCENTE;0;MASCULINO;CIENCIAS NATURALES Y EXACTAS;432
2019;Provincia;C.A.B.A.;DOCENTE;0;MASCULINO;CIENCIAS SOCIALES;1204
2019;Provincia;C.A.B.A.;DOCENTE;0;MASCULINO;HUMANIDADES;646
2019;Provincia;C.A.B.A.;DOCENTE;0;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;524
2019;Provincia;C.A.B.A.;INVESTIGADOR;0;FEMENINO;CIENCIAS AGRÍCOLAS;212
2019;Provincia;C.A.B.A.;INVESTIGADOR;0;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;368
2019;Provincia;C.A.B.A.;INVESTIGADOR;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;428
2019;Provincia;C.A.B.A.;INVESTIGADOR;0;FEMENINO;CIENCIAS SOCIALES;760
2019;Provincia;C.A.B.A.;INVESTIGADOR;0;FEMENINO;HUMANIDADES;462
2019;Provincia;C.A.B.A.;INVESTIGADOR;0;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;121
2019;Provincia;C.A.B.A.;INVESTIGADOR;0;MASCULINO;CIENCIAS AGRÍCOLAS;174
2019;Provincia;C.A.B.A.;INVESTIGADOR;0;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;207
2019;Provincia;C.A.B.A.;INVESTIGADOR;0;MASCULINO;CIENCIAS NATURALES Y EXACTAS;340
2019;Provincia;C.A.B.A.;INVESTIGADOR;0;MASCULINO;CIENCIAS SOCIALES;542
2019;Provincia;C.A.B.A.;INVESTIGADOR;0;MASCULINO;HUMANIDADES;270
2019;Provincia;C.A.B.A.;INVESTIGADOR;0;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;252
2019;Provincia;C.A.B.A.;INVESTIGADOR;1;FEMENINO;CIENCIAS AGRÍCOLAS;55
2019;Provincia;C.A.B.A.;INVESTIGADOR;1;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;402
2019;Provincia;C.A.B.A.;INVESTIGADOR;1;FEMENINO;CIENCIAS NATURALES Y EXACTAS;726
2019;Provincia;C.A.B.A.;INVESTIGADOR;1;FEMENINO;CIENCIAS SOCIALES;343
2019;Provincia;C.A.B.A.;INVESTIGADOR;1;FEMENINO;HUMANIDADES;292
2019;Provincia;C.A.B.A.;INVESTIGADOR;1;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;111
2019;Provincia;C.A.B.A.;INVESTIGADOR;1;MASCULINO;CIENCIAS AGRÍCOLAS;52
2019;Provincia;C.A.B.A.;INVESTIGADOR;1;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;205
2019;Provincia;C.A.B.A.;INVESTIGADOR;1;MASCULINO;CIENCIAS NATURALES Y EXACTAS;641
2019;Provincia;C.A.B.A.;INVESTIGADOR;1;MASCULINO;CIENCIAS SOCIALES;231
2019;Provincia;C.A.B.A.;INVESTIGADOR;1;MASCULINO;HUMANIDADES;211
2019;Provincia;C.A.B.A.;INVESTIGADOR;1;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;78
2019;Provincia;C.A.B.A.;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;CIENCIAS AGRÍCOLAS;97
2019;Provincia;C.A.B.A.;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;445
2019;Provincia;C.A.B.A.;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;734
2019;Provincia;C.A.B.A.;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;CIENCIAS SOCIALES;724
2019;Provincia;C.A.B.A.;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;HUMANIDADES;529
2019;Provincia;C.A.B.A.;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;118
2019;Provincia;C.A.B.A.;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;CIENCIAS AGRÍCOLAS;95
2019;Provincia;C.A.B.A.;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;211
2019;Provincia;C.A.B.A.;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;CIENCIAS NATURALES Y EXACTAS;514
2019;Provincia;C.A.B.A.;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;CIENCIAS SOCIALES;467
2019;Provincia;C.A.B.A.;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;HUMANIDADES;282
2019;Provincia;C.A.B.A.;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;192
2019;Provincia;Catamarca;BECARIO DE I+D;0;FEMENINO;CIENCIAS AGRÍCOLAS;3
2019;Provincia;Catamarca;BECARIO DE I+D;0;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;1
2019;Provincia;Catamarca;BECARIO DE I+D;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;3
2019;Provincia;Catamarca;BECARIO DE I+D;0;FEMENINO;CIENCIAS SOCIALES;6
2019;Provincia;Catamarca;BECARIO DE I+D;0;FEMENINO;HUMANIDADES;3
2019;Provincia;Catamarca;BECARIO DE I+D;0;MASCULINO;CIENCIAS AGRÍCOLAS;1
2019;Provincia;Catamarca;BECARIO DE I+D;0;MASCULINO;CIENCIAS NATURALES Y EXACTAS;2
2019;Provincia;Catamarca;BECARIO DE I+D;0;MASCULINO;CIENCIAS SOCIALES;1
2019;Provincia;Catamarca;BECARIO DE I+D;1;FEMENINO;CIENCIAS AGRÍCOLAS;4
2019;Provincia;Catamarca;BECARIO DE I+D;1;FEMENINO;CIENCIAS NATURALES Y EXACTAS;13
